1%,由本人工资1%调整为5%,个人缴费费率,将小微企业的失业保险单位缴费费率由本单位工资总额的2%调整为5%，个人缴费费率由本人工资的1%调整为5%。
10亿,对点帮扶机制,点帮扶机制,抓紧建立销售收入10亿元以上企业零距离、点对点帮扶机制，支持优势企业加快技术改造，强化土地、资金、煤电油运等要素供给，力保重点企业壮大不萎缩。
10亿,今年达45户,45,深入实施“骨干企业扶持工程”，培育和打造一批带动作用大、支撑能力强的龙头企业，力争今年年产值10亿元以上企业达45户，规模以上企业1000户。
100%,达到100%,100%,实现10个“百分之百”项目，即贫困白内障适应症患者手术率达到100%、有培训需求的残疾人培训率达到100%、困难残疾学生和残疾人家庭子女接受义务教育到中高等教育资助率达到100%、贫困重度智力和精神残疾人接受机构及居家托养补贴覆盖率达到100%、符合条件的城乡残疾人纳入最低生活保障覆盖率达到100%、重度残疾人社会保障覆盖率达到100%、为有需求的残疾人提供免费法律援助服务率达到100%、有康复需求的残疾人“人人享有康复”服务率达到100%、为有需求的残疾人提供志愿服务满意率达到100%、全市各级残疾人工作者年培训率达到100%。
100%,实现全封闭,封闭,全市100%新建小区实现全封闭，80%以上的老式住宅小区实现全封闭或半封闭。
15万,在15万元以上部分由个人自付,医疗费用,医疗费用在15万元以上的部分，由个人自付。
15%,不低于10%含乡镇企业职工,12%,本届劳动模范人选结构中，一线职工（含农民工）不低于劳模总数的45%、企事业单位负责人不高于劳模总数的15%、科教文卫体等人员不低于劳模总数的10%、农民（含乡镇企业职工）不低于劳模总数的18%、其他占12%左右。
15%,不低于10%含乡镇企业职工,劳模总数含乡镇企业职工,本届劳动模范人选结构中，一线职工（含农民工）不低于劳模总数的45%、企事业单位负责人不高于劳模总数的15%、科教文卫体等人员不低于劳模总数的10%、农民（含乡镇企业职工）不低于劳模总数的18%、其他占12%左右。
1997年,按月发放劳动模范荣誉津贴,劳动模范荣誉津贴,1997年1月1日之前离退休的市劳动模范，按月发放劳动模范荣誉津贴。
1998年,由市级财政予以补贴,补贴,所需资金个人一次性缴纳40%，按照原企业隶属关系由同级财政对应补贴60%，其中1998年后市属下放给区的企业由市级财政予以补贴。
200万,在200万吨以下由县主管部门审批,县内地下水年取水量,县（市）内地下水年取水量在200万吨以下、地表水年取水量在400万吨以下的建设项目水资源论证报告书，由县（市）主管部门审批。
2007年,令第169号,16,按照国家《土地储备管理办法》（国土和《哈尔滨市土地储备办法》（2007年市政府令第169号），制定出台相关配套政策和实施细则；
2007年,令第173号,3,落实《哈尔滨市进城务工农民权益保障办法》（2007年市政府令第173号），继续扩大农民工工资保障金实施范围，进一步完善农民工工资保障金制度（责任单位：市劳动和社会保障局）。
2008年,是深入,深入,2008年是十一届市政协深入学习实践科学发展观，为构建“三个适宜”现代文明城市做出重要贡献的一年。
2008年,是全面贯彻科学发展观重要阶段,我市贯彻科学发展观重要阶段,2008年是我市全面贯彻落实科学发展观、实现国民经济又好又快发展的重要阶段。
2008年,是深入,学习实践科学发展观,2008年是十一届市政协深入学习实践科学发展观，为构建“三个适宜”现代文明城市做出重要贡献的一年。
2008年,是深入,做出重要贡献一年,2008年是十一届市政协深入学习实践科学发展观，为构建“三个适宜”现代文明城市做出重要贡献的一年。
2010年,达到30%达到50%,50%,每年至少对高血压、2型糖尿病患者进行4次面对面的随访，2010年高血压患者和糖尿病患者登记管理率达到30%、规范管理率达到50%。
2010年,达到80%,80%,2010年重点人群（65岁以上老人、妇女、儿童、4种慢性病人）健康档案建档率达到80%。
