Hos_Name,Hos_City,Hos_Grade,Hos_Speciality
中日友好医院（卫生部中日友好医院）,北京市-朝阳区,三级甲等,心脏血管外科·电化疗科、肛肠外科、神经外科、全国疼痛诊疗研究中心、中医妇科
北京地坛医院（地坛医院）,北京市-朝阳区,三级甲等,传染病治疗室、皮肤性病科、肝病科、危重症救治中心、中西医结合科
中国中医科学院望京医院（望京医院）,北京市-朝阳区,三级甲等,创伤科、脊柱一科、脊柱二科、骨关节科、关节镜科
首都医科大学附属北京妇产医院,北京市-朝阳区,三级甲等,妇科、产科、妇科肿瘤、新生儿科、妇科微创、内分泌科、生殖医学科、计划生育科
首都儿科研究所附属儿童医院（首都儿科研究所）,北京市-朝阳区,三级甲等,呼吸内科、心血管内科、小儿泌尿外科
北京军区总医院分院（中国人民解放军二九二医院）,北京市-朝阳区,三级乙等,皮肤性病科、骨科、烧伤科
煤炭总医院（煤炭工业总医院）,北京市-朝阳区,三级丙等,神经外科、心脏科
北京华信医院（酒仙桥医院、清华大学第一附属医院）,北京市-朝阳区,三级丙等,心血管内科、泌尿外科
北京藏医院（北京藏医院暨北京民族医院）,北京市-朝阳区,二级甲等,康复科、男科
北京万杰医院,北京市-朝阳区,二级甲等,
中国医学科学院肿瘤医院（中科院肿瘤医院）,北京市-朝阳区,三级甲等,肿瘤妇科、腹部外科、肿瘤内科、头颈外科
首都医科大学附属北京朝阳医院（朝阳医院）,北京市-朝阳区,三级甲等,普外科、呼吸科、泌尿外科、血液肿瘤科、高压氧科、职业病科、检验科、心脏科
首都医科大学附属北京安贞医院（安贞医院）,北京市-朝阳区,三级甲等,呼吸内科、心胸外科、心脏内科、小儿心脏科、神经内科、抢救科、心脏外科
武警北京市总队医院,北京市-朝阳区,三级甲等,
中国人民解放军第306医院（三零六医院、三0六医院）,北京市-朝阳区,三级甲等,骨科、内分泌科、口腔科、外科、心血管内科
北京京城皮肤病医院,北京市-朝阳区,三级乙等,特需门诊、银屑病、白癜风科、整形美容科、痤疮门诊、灰指甲专科
北京中医药大学第三附属医院,北京市-朝阳区,三级丙等,
中国民用航空总医院,北京市-朝阳区,三级丙等,
北京冶金医院,北京市-朝阳区,二级甲等,
北京市垂杨柳医院（北京微创医院）,北京市-朝阳区,二级甲等,
中国航空工业中心医院（三六一医院、361医院）,北京市-朝阳区,二级甲等,消化内科、心血管内科、眼科、产科
北京市朝阳区中医医院,北京市-朝阳区,二级甲等,脑病科、肛肠科、乳腺病科、骨伤科、肝肾科、针灸科
北京市朝阳区第二医院（北京市小庄医院）,北京市-朝阳区,二级甲等,
北京市朝阳区中医院,北京市-朝阳区,二级甲等,
北京国医堂中医院,北京市-朝阳区,二级甲等,
朝阳区慈济医院,北京市-朝阳区,二级乙等,
北京市朝阳区双桥医院,北京市-朝阳区,二级丙等,
北京广仁医院,北京市-朝阳区,一级甲等,
朝阳区平房医院,北京市-朝阳区,一级甲等,
朝阳区劲松医院,北京市-朝阳区,一级甲等,
航空工业中心医院,北京市-朝阳区,二级甲等,
北京市朝阳区妇幼保健院,北京市-朝阳区,二级甲等,
北京市惠新医院,北京市-朝阳区,二级甲等,
首都国际机场医院,北京市-朝阳区,二级甲等,
北京市999急救中心,北京市-朝阳区,二级甲等,抢救科
北京市朝阳区东坝医院,北京市-朝阳区,二级丙等,
北京恒安中医院（北京中京苑医学科学研究院恒安中医院）,北京市-朝阳区,一级甲等,骨科
北京市朝阳区第三医院（朝阳区八里庄医院）,北京市-朝阳区,一级甲等,
北京市朝阳区和平医院,北京市-朝阳区,一级甲等,老年科
朝阳区曙光医院,北京市-朝阳区,一级甲等,
北京朝阳光华医院,北京市-朝阳区,一级甲等,
北京市朝阳区化工路医院,北京市-朝阳区,一级甲等,
北京市朝阳区洼里医院,北京市-朝阳区,一级甲等,
北京市南洋肿瘤医院,北京市-朝阳区,一级甲等,
北京市朝阳区小红门医院,北京市-朝阳区,一级甲等,
北京市朝阳区三里屯医院,北京市-朝阳区,一级甲等,
北京市朝阳区亚运村医院,北京市-朝阳区,一级甲等,
北京兆维电子（集团）有限责任公司医院,北京市-朝阳区,一级甲等,肛肠科、整形科、心脑慢性病中心
朝阳区双桥医院,北京市-朝阳区,一级甲等,
北京市朝阳区常营回民医院,北京市-朝阳区,一级甲等,
北京化工实验厂医院,北京市-朝阳区,一级甲等,
北京市朝阳区慈济医院,北京市-朝阳区,一级甲等,骨科
北京市朝阳区康欣医院,北京市-朝阳区,一级甲等,
北京第三城市建设工程公司医院,北京市-朝阳区,一级甲等,
北京世纪康乐医院（北京实际康乐整形医院）,北京市-朝阳区,一级甲等,
人民日报社医院,北京市-朝阳区,一级甲等,
朝阳区东风医院,北京市-朝阳区,一级甲等,
朝阳医院第五住院部,北京市-朝阳区,一级甲等,
朝阳区康欣医院,北京市-朝阳区,一级甲等,
北京青年沟医院,北京市-朝阳区,一级甲等,
中国水利水电第二工程局医院,北京市-朝阳区,一级甲等,
北京城建水碓子医院,北京市-朝阳区,一级甲等,
中国建筑材料科学研究院管庄东里医院,北京市-朝阳区,一级甲等,
北京市第五建筑工程公司职工医院,北京市-朝阳区,一级甲等,
北京市朝阳区平房医院,北京市-朝阳区,一级甲等,
北京市朝阳区安苑中医院,北京市-朝阳区,一级甲等,
北京市城建青年沟医院,北京市-朝阳区,一级甲等,
北京金台中医院,北京市-朝阳区,一级甲等,
北京市朝阳区劲松医院,北京市-朝阳区,一级甲等,保健科
中电一局建设发展公司医院,北京市-朝阳区,一级甲等,
北京市朝阳区豆各庄医院,北京市-朝阳区,一级甲等,
北京市朝阳区太阳宫医院（北京市朝阳区太阳宫社区卫生服务中心）,北京市-朝阳区,一级甲等,
北京第七建设工程公司职工医院,北京市-朝阳区,一级甲等,
石佛营医院,北京市-朝阳区,一级甲等,
北京朝阳凌和望京医院,北京市-朝阳区,一级甲等,
朝阳区皮肤性病防治所,北京市-朝阳区,一级甲等,
北京铁路局北京铁路分局双桥铁路医院,北京市-朝阳区,一级甲等,
朝阳区常营回民医院,北京市-朝阳区,一级甲等,
北京市朝阳区金盏医院,北京市-朝阳区,一级甲等,
朝阳区新源里医院,北京市-朝阳区,一级甲等,
朝阳区高碑店医院,北京市-朝阳区,一级甲等,
北京市朝阳区高碑店医院,北京市-朝阳区,一级甲等,
北京起重机器厂朝阳广仁医院,北京市-朝阳区,一级甲等,心血管内科、肛肠外科、外伤科、眼科、整形美容科
北京凯诺脊椎健康研究中心,北京市-朝阳区,一级甲等,脊椎科
北京市朝阳区三间房医院,北京市-朝阳区,一级甲等,
北京市朝阳区安苑中医医院,北京市-朝阳区,一级乙等,
北京化学工业有限责任公司化工二厂医院,北京市-朝阳区,一级乙等,
罗有明中医骨伤科医院,北京市-朝阳区,一级乙等,
北京市朝阳区左家庄医院（北京市朝阳区皮肤性病防治所）,北京市-朝阳区,一级乙等,
北京市朝阳区来广营医院（北京市朝阳区来广营社区卫生服务中心）,北京市-朝阳区,一级乙等,
北京城建青年沟医院,北京市-朝阳区,一级甲等,骨科、皮肤科
北京市城建祁家豁子医院,北京市-朝阳区,一级甲等,风湿科、类风湿科、皮肤性病科
北京市朝阳区新源里医院（朝阳区左家庄社区卫生服务中心）,北京市-朝阳区,一级甲等,
北京市朝阳区安华医院,北京市-朝阳区,一级甲等,
中国舰船研究院北京舰船医院,北京市-朝阳区,一级甲等,
北京炼焦化学厂医院,北京市-朝阳区,一级乙等,
北京市朝阳区石佛营医院,北京市-朝阳区,一级乙等,
北京市朝阳区双龙医院,北京市-朝阳区,一级乙等,
北京市朝阳区大柳树医院,北京市-朝阳区,一级乙等,
北京糖尿病医院（北京市朝阳糖尿病医院）,北京市-朝阳区,一级丙等,
北京朝阳医院,北京市-朝阳区,,
北京东大肛肠医院,北京市-朝阳区,,
北京史三八医疗美容医院,北京市-朝阳区,,
中国医学科学院肿瘤研究所,北京市-朝阳区,,
北京长虹医院（北京同仁长虹整形美容医院）,北京市-朝阳区,,
北京华德眼科医院,北京市-朝阳区,,
北京现代女子医院,北京市-朝阳区,,
黄寺美容外科医院,北京市-朝阳区,,美容外科、整形外科
北京美奥国际美容医疗中心,北京市-朝阳区,,
伊美尔幸福医院,北京市-朝阳区,,
北京建国医院,北京市-朝阳区,,
北京天伦不孕不育医院,北京市-朝阳区,,女性不孕诊疗专科、男性不育诊疗专科
北京东方博大医院,北京市-朝阳区,,
北京五洲女子医院,北京市-朝阳区,,
北京玛丽妇婴医院,北京市-朝阳区,,
北京英智眼科医院,北京市-朝阳区,,
北京伟达中医肿瘤医院,北京市-朝阳区,,
北京军区总医院美容整形中心,北京市-朝阳区,,
北京朝阳三环肿瘤医院,北京市-朝阳区,,
北京国际医疗中心,北京市-朝阳区,,
朝阳区中医院,北京市-朝阳区,,
朝阳区第三医院,北京市-朝阳区,,
北京市朝阳区楼梓庄医院,北京市-朝阳区,,
北京市第一轻工业总公司医院,北京市-朝阳区,,
明会红国际医疗美容机构,北京市-朝阳区,,
朝阳区安华医院,北京市-朝阳区,,
科发源植发医疗连锁机构（科发源植发医院）,北京市-朝阳区,,植发科
北京东南医疗美容医院,北京市-朝阳区,,
朝阳区团结湖医院,北京市-朝阳区,,
北京新景安太妇产医院,北京市-朝阳区,,
朝阳区红十字会第二医院,北京市-朝阳区,,
铁道部第十六工程局中心医院,北京市-朝阳区,,
朝阳区十八里店医院,北京市-朝阳区,,
韩影宫（国际）美容科技有限公司,北京市-朝阳区,,
庇利积臣医疗中心,北京市-朝阳区,,
北京基恩医院,北京市-朝阳区,,中医门诊部、整形美容科
朝阳区洼里医院,北京市-朝阳区,,
北京市二零一所医院,北京市-朝阳区,,
朝阳区三里屯医院,北京市-朝阳区,,
北京市朝阳区慧忠医院,北京市-朝阳区,,
朝阳区亚运村医院,北京市-朝阳区,,
北京妇产医院北京市妇幼保健院,北京市-朝阳区,,
北京侯医生整形美容连锁机构,北京市-朝阳区,,
中国人民解放军第三Ｏ六医院,北京市-朝阳区,,
北京惠兰医院,北京市-朝阳区,,
朝阳区东坝医院,北京市-朝阳区,,
北京和睦家医院,北京市-朝阳区,,
北京爱康医院整形中心（SK爱康医院）,北京市-朝阳区,,
北京亚奥整形诊所,北京市-朝阳区,,
北京佳美口腔医院,北京市-朝阳区,,
朝阳区化工路医院,北京市-朝阳区,,
朝阳区三间房医院,北京市-朝阳区,,
北京现代阳光健康体检连锁机构,北京市-朝阳区,,
北京高新医院,北京市-朝阳区,,
朝阳区将台医院,北京市-朝阳区,,
北京市红十字新华医院,北京市-朝阳区,,
朝阳区太阳宫医院,北京市-朝阳区,,
朝阳区来广营医院,北京市-朝阳区,,
北京联邦整形美容门诊部,北京市-朝阳区,,
北京九华山庄体检中心,北京市-朝阳区,,
北京民众体检中心,北京市-朝阳区,,
北京爱康医院,北京市-朝阳区,,
可丽亚医疗美容中心,北京市-朝阳区,,
北京叶子整形美容医院,北京市-朝阳区,,
北京市红十字会急诊抢救中心,北京市-朝阳区,,
北京金炫澈整形医疗美容中心,北京市-朝阳区,,
北京安达心脑病医院,北京市-朝阳区,,
北京北亚骨科医院,北京市-朝阳区,,红斑狼疮、强直性脊柱炎
朝阳区左家庄医院,北京市-朝阳区,,
北京建国不孕不育医院,北京市-朝阳区,,妇科炎症专科、肝病科、男性性功能障碍诊疗中心、前列腺疾病诊疗中心、男性生殖感染健康中心、不孕不育科
北京同仁福康眼科医院,北京市-朝阳区,,眼科
朝阳区妇幼保健院,北京市-朝阳区,,
对外经济贸易大学医院,北京市-朝阳区,,
北京同仁长虹医院,北京市-朝阳区,,
好好眼科医院,北京市-朝阳区,,
北京美联臣医疗美容医院,北京市-朝阳区,,
北京禾力康医疗美容医院,北京市-朝阳区,,
北京藏医医院,北京市-朝阳区,,
朝阳区大柳树医院,北京市-朝阳区,,
