Med_Name,Med_Kind,Med_Plc

克霉唑,消化道和代谢方面的药物 [口服常释剂型],国家

西吡氯铵,消化道和代谢方面的药物 [外用液体剂],国家

复方铝酸铋,消化道和代谢方面的药物 [颗粒剂],国家

雷尼替丁,消化道和代谢方面的药物 [注射剂],国家

埃索美拉唑,消化道和代谢方面的药物 [注射剂],国家

奥美拉唑,消化道和代谢方面的药物 [注射剂],国家

泮托拉唑,消化道和代谢方面的药物 [注射剂],国家

硫糖铝,消化道和代谢方面的药物 [混悬凝胶剂],国家

间苯三酚,消化道和代谢方面的药物 [注射剂],国家

溴丙胺太林,消化道和代谢方面的药物 [口服常释剂型],国家

替硝唑,消化道和代谢方面的药物 [外用液体剂],国家

大黄碳酸氢钠,消化道和代谢方面的药物 [口服常释剂型],国家

铝碳酸镁,消化道和代谢方面的药物 [口服常释剂型],国家

奥美拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

艾普拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

泮托拉唑,消化道和代谢方面的药物 [口服常释剂型],国家

硫糖铝,消化道和代谢方面的药物 [口服常释剂型;口服液体剂;颗粒剂],国家

替普瑞酮,消化道和代谢方面的药物 [口服常释剂型],国家

匹维溴铵,消化道和代谢方面的药物 [口服常释剂型],国家

罂粟碱,消化道和代谢方面的药物 [注射剂],国家

阿托品,消化道和代谢方面的药物 [口服常释剂型],国家

甲氧氯普胺,消化道和代谢方面的药物 [口服常释剂型],国家

莫沙必利,消化道和代谢方面的药物 [口服常释剂型;颗粒剂],国家

多拉司琼,消化道和代谢方面的药物 [注射剂],国家

格拉司琼,消化道和代谢方面的药物 [注射剂],国家

联苯双酯,消化道和代谢方面的药物 [口服常释剂型;滴丸剂],国家

复方甘草酸苷,消化道和代谢方面的药物 [口服常释剂型],国家

甘草酸二铵,消化道和代谢方面的药物 [口服常释剂型],国家

甲硫氨酸维B1,消化道和代谢方面的药物 [注射剂],国家

葡醛内酯,消化道和代谢方面的药物 [注射剂],国家

丁溴东莨菪碱,消化道和代谢方面的药物 [口服常释剂型],国家

多潘立酮,消化道和代谢方面的药物 [口服液体剂],国家

伊托必利,消化道和代谢方面的药物 [口服常释剂型],国家

格拉司琼,消化道和代谢方面的药物 [口服常释剂型],国家

苯丙醇,消化道和代谢方面的药物 [口服常释剂型],国家

多烯磷脂酰胆碱,消化道和代谢方面的药物 [注射剂],国家

复方甘草酸苷,消化道和代谢方面的药物 [注射剂],国家

还原型谷胱甘肽,消化道和代谢方面的药物 [注射剂],国家

硫普罗宁,消化道和代谢方面的药物 [注射剂],国家

双环醇,消化道和代谢方面的药物 [口服常释剂型],国家

双歧杆菌三联活菌,消化道和代谢方面的药物 [口服常释剂型;口服散剂],国家

干酵母,消化道和代谢方面的药物 [口服常释剂型],国家

动物源中效胰岛素,消化道和代谢方面的药物 [注射剂],国家

动物源长效胰岛素,消化道和代谢方面的药物 [注射剂],国家

格列本脲,消化道和代谢方面的药物 [口服常释剂型],国家

格列齐特,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型],国家

米格列奈钙,消化道和代谢方面的药物 [口服常释剂型],国家

复合维生素B,消化道和代谢方面的药物 [口服常释剂型],国家

维生素A,消化道和代谢方面的药物 [口服常释剂型],国家

硒酵母,消化道和代谢方面的药物 [口服常释剂型],国家

复方阿嗪米特,消化道和代谢方面的药物 [口服常释剂型],国家

生物合成人胰岛素,消化道和代谢方面的药物 [注射剂],国家

人中效胰岛素,消化道和代谢方面的药物 [注射剂],国家

二甲双胍,消化道和代谢方面的药物 [口服常释剂型],国家

格列吡嗪,消化道和代谢方面的药物 [口服常释剂型],国家

阿卡波糖,消化道和代谢方面的药物 [口服常释剂型],国家

维生素D2,消化道和代谢方面的药物 [口服常释剂型],国家

骨化三醇,消化道和代谢方面的药物 [口服常释剂型],国家

维生素B2,消化道和代谢方面的药物 [注射剂],国家

烟酰胺,消化道和代谢方面的药物 [注射剂],国家

水飞蓟宾,消化道和代谢方面的药物 [口服常释剂型],国家

酚酞,消化道和代谢方面的药物 [口服常释剂型],国家

开塞露,消化道和代谢方面的药物 [外用液体剂;灌肠剂],国家

复方聚乙二醇电解质(Ⅲ),消化道和代谢方面的药物 [口服散剂],国家

聚卡波非钙,消化道和代谢方面的药物 [口服常释剂型],国家

蒙脱石,消化道和代谢方面的药物 [口服散剂],国家

补液盐Ⅲ,消化道和代谢方面的药物 [口服散剂],国家

柳氮磺吡啶,消化道和代谢方面的药物 [栓剂],国家

美沙拉嗪,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂;栓剂;灌肠剂],国家

地衣芽孢杆菌活菌,消化道和代谢方面的药物 [颗粒剂],国家

水飞蓟宾葡甲胺,消化道和代谢方面的药物 [口服常释剂型],国家

聚乙二醇,消化道和代谢方面的药物 [口服散剂],国家

多库酯钠,消化道和代谢方面的药物 [口服常释剂型],国家

复方聚乙二醇电解质(Ⅳ),消化道和代谢方面的药物 [口服散剂],国家

普芦卡必利,消化道和代谢方面的药物 [口服常释剂型],国家

蒙脱石,消化道和代谢方面的药物 [口服液体剂],国家

洛哌丁胺,消化道和代谢方面的药物 [口服常释剂型],国家

美沙拉秦,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂;栓剂;灌肠剂],国家

地衣芽孢杆菌活菌,消化道和代谢方面的药物 [口服常释剂型],国家

双歧杆菌活菌,消化道和代谢方面的药物 [口服常释剂型],国家

硫酸镁,消化道和代谢方面的药物 [注射剂],国家

枸橼酸钾,消化道和代谢方面的药物 [颗粒剂],国家

苯丙酸诺龙,消化道和代谢方面的药物 [注射剂],国家

硫辛酸,消化道和代谢方面的药物 [注射剂],国家

肝素,血液和造血器官药 [注射剂],国家

