Med_Name,Med_Kind,Med_Plc,Med_Remark

克霉唑,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

替硝唑,消化道和代谢方面的药物 [外用液体剂],中国,备注：

西吡氯铵,消化道和代谢方面的药物 [外用液体剂],中国,备注：△

大黄碳酸氢钠,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

复方铝酸铋,消化道和代谢方面的药物 [颗粒剂],中国,备注：△

铝碳酸镁,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

雷尼替丁,消化道和代谢方面的药物 [注射剂],中国,备注：

奥美拉唑,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

埃索美拉唑,消化道和代谢方面的药物 [注射剂],中国,备注：限有说明书标明的疾病诊断且有禁食医嘱或吞咽困难的患者

艾普拉唑,消化道和代谢方面的药物 [口服常释剂型],中国,备注：限有十二指肠溃疡诊断患者的二线用药

奥美拉唑,消化道和代谢方面的药物 [注射剂],中国,备注：限有说明书标明的疾病诊断且有禁食医嘱或吞咽困难的患者

泮托拉唑,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

泮托拉唑,消化道和代谢方面的药物 [注射剂],中国,备注：限有说明书标明的疾病诊断且有禁食医嘱或吞咽困难的患者

硫糖铝,消化道和代谢方面的药物 [口服常释剂型;口服液体剂;颗粒剂],中国,备注：△

硫糖铝,消化道和代谢方面的药物 [混悬凝胶剂],中国,备注：△

替普瑞酮,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

间苯三酚,消化道和代谢方面的药物 [注射剂],中国,备注：

匹维溴铵,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

溴丙胺太林,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

罂粟碱,消化道和代谢方面的药物 [注射剂],中国,备注：

阿托品,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

丁溴东莨菪碱,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

甲氧氯普胺,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

多潘立酮,消化道和代谢方面的药物 [口服液体剂],中国,备注：限儿童或吞咽困难患者

莫沙必利,消化道和代谢方面的药物 [口服常释剂型;颗粒剂],中国,备注：△

伊托必利,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

多拉司琼,消化道和代谢方面的药物 [注射剂],中国,备注：限放化疗且吞咽困难患者的二线用药

格拉司琼,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

格拉司琼,消化道和代谢方面的药物 [注射剂],中国,备注：限放化疗且吞咽困难患者

苯丙醇,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

联苯双酯,消化道和代谢方面的药物 [口服常释剂型;滴丸剂],中国,备注：

多烯磷脂酰胆碱,消化道和代谢方面的药物 [注射剂],中国,备注：限抢救或肝功能衰竭

复方甘草酸苷,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

复方甘草酸苷,消化道和代谢方面的药物 [注射剂],中国,备注：限肝功能衰竭或无法口服甘草酸口服制剂的患者

甘草酸二铵,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

还原型谷胱甘肽,消化道和代谢方面的药物 [注射剂],中国,备注：限药物性肝损伤或肝功能衰竭

甲硫氨酸维B1,消化道和代谢方面的药物 [注射剂],中国,备注：限药物中毒

硫普罗宁,消化道和代谢方面的药物 [注射剂],中国,备注：

葡醛内酯,消化道和代谢方面的药物 [注射剂],中国,备注：

双环醇,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

双歧杆菌三联活菌,消化道和代谢方面的药物 [口服常释剂型;口服散剂],中国,备注：△

复方阿嗪米特,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

干酵母,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

生物合成人胰岛素,消化道和代谢方面的药物 [注射剂],中国,备注：

动物源中效胰岛素,消化道和代谢方面的药物 [注射剂],中国,备注：

人中效胰岛素,消化道和代谢方面的药物 [注射剂],中国,备注：◇

动物源长效胰岛素,消化道和代谢方面的药物 [注射剂],中国,备注：

二甲双胍,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

格列本脲,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

格列吡嗪,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

格列齐特,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型],中国,备注：

阿卡波糖,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

米格列奈钙,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

维生素D2,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

复合维生素B,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

骨化三醇,消化道和代谢方面的药物 [口服常释剂型],中国,备注：限中、重度骨质疏松；肾性骨病；甲状旁腺功能减退症

维生素A,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

维生素B2,消化道和代谢方面的药物 [注射剂],中国,备注：

硒酵母,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

烟酰胺,消化道和代谢方面的药物 [注射剂],中国,备注：

水飞蓟宾,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

水飞蓟宾葡甲胺,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

酚酞,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

聚乙二醇,消化道和代谢方面的药物 [口服散剂],中国,备注：

开塞露,消化道和代谢方面的药物 [外用液体剂;灌肠剂],中国,备注：

多库酯钠,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

复方聚乙二醇电解质(Ⅲ),消化道和代谢方面的药物 [口服散剂],中国,备注：

复方聚乙二醇电解质(Ⅳ),消化道和代谢方面的药物 [口服散剂],中国,备注：

聚卡波非钙,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

普芦卡必利,消化道和代谢方面的药物 [口服常释剂型],中国,备注：限二线用药

蒙脱石,消化道和代谢方面的药物 [口服散剂],中国,备注：

蒙脱石,消化道和代谢方面的药物 [口服液体剂],中国,备注：限儿童

补液盐Ⅲ,消化道和代谢方面的药物 [口服散剂],中国,备注：△

洛哌丁胺,消化道和代谢方面的药物 [口服常释剂型],中国,备注：

柳氮磺吡啶,消化道和代谢方面的药物 [栓剂],中国,备注：

美沙拉秦,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂;栓剂;灌肠剂],中国,备注：

美沙拉嗪,消化道和代谢方面的药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂;栓剂;灌肠剂],中国,备注：

地衣芽孢杆菌活菌,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

地衣芽孢杆菌活菌,消化道和代谢方面的药物 [颗粒剂],中国,备注：△

双歧杆菌活菌,消化道和代谢方面的药物 [口服常释剂型],中国,备注：△

硫酸镁,消化道和代谢方面的药物 [注射剂],中国,备注：

复合磷酸氢钾,消化道和代谢方面的药物 [注射剂],中国,备注：限有禁食5天以上医嘱且有需要补磷的检验证据的患者

枸橼酸钾,消化道和代谢方面的药物 [颗粒剂],中国,备注：

氯化钙,消化道和代谢方面的药物 [注射剂],中国,备注：

苯丙酸诺龙,消化道和代谢方面的药物 [注射剂],中国,备注：

加贝酯,消化道和代谢方面的药物 [注射剂],中国,备注：

硫辛酸,消化道和代谢方面的药物 [注射剂],中国,备注：限有明确痛性糖尿病外周神经病变诊断的患者

特利加压素,消化道和代谢方面的药物 [注射剂],中国,备注：限食管静脉曲张出血抢救

肝素,血液和造血器官药 [注射剂],中国,备注：

那屈肝素钙,血液和造血器官药 [注射剂],中国,备注：

那曲肝素钙,血液和造血器官药 [注射剂],中国,备注：

氯吡格雷,血液和造血器官药 [口服常释剂型],中国,备注：急性期使用不超过12个月；非急性期使用需有阿司匹林不能耐受的证据

替罗非班,血液和造血器官药 [注射剂],中国,备注：限急性冠脉综合征的介入治疗

替罗非班氯化钠,血液和造血器官药 [注射剂],中国,备注：限急性冠脉综合征的介入治疗

重组链激酶,血液和造血器官药 [注射剂],中国,备注：

阿替普酶,血液和造血器官药 [注射剂],中国,备注：限急性心肌梗死发病12小时内及脑梗死发病3小时内溶栓治疗时支付，超过说明书规定用药时限的不予支付

阿加曲班,血液和造血器官药 [注射剂],中国,备注：限有急性脑梗死诊断并有运动神经麻痹体征且在发作后48小时内用药

阿哌沙班,血液和造血器官药 [口服常释剂型],中国,备注：限下肢关节置换手术患者

氨基己酸,血液和造血器官药 [口服常释剂型],中国,备注：

氨甲苯酸氯化钠,血液和造血器官药 [注射剂],中国,备注：

甲萘氢醌,血液和造血器官药 [口服常释剂型],中国,备注：

人凝血因子Ⅷ,血液和造血器官药 [注射剂],中国,备注：

维生素K1,血液和造血器官药 [注射剂],中国,备注：

白眉蛇毒血凝酶,血液和造血器官药 [注射剂],中国,备注：

酚磺乙胺,血液和造血器官药 [注射剂],中国,备注：

聚桂醇,血液和造血器官药 [注射剂],中国,备注：限消化道严重出血

卡络磺钠,血液和造血器官药 [口服常释剂型],中国,备注：

人凝血酶原复合物,血液和造血器官药 [注射剂],中国,备注：限手术大出血和肝病导致的出血；乙型血友病和伴有因子Ⅷ抑制物的血友病患者

重组人血小板生成素,血液和造血器官药 [注射剂],中国,备注：限实体瘤化疗后所致的严重血小板减少症或特发性血小板减少性紫癜

琥珀酸亚铁,血液和造血器官药 [口服常释剂型],中国,备注：

富马酸亚铁,血液和造血器官药 [口服常释剂型;口服液体剂;颗粒剂;咀嚼片],中国,备注：

琥珀酸亚铁,血液和造血器官药 [缓释控释剂型;颗粒剂],中国,备注：

山梨醇铁,血液和造血器官药 [注射剂],中国,备注：

叶酸,血液和造血器官药 [口服常释剂型],中国,备注：

甲钴胺,血液和造血器官药 [口服常释剂型],中国,备注：

利可君,血液和造血器官药 [口服常释剂型],中国,备注：

腺苷钴胺,血液和造血器官药 [口服常释剂型],中国,备注：

重组人促红素-β(CHO细胞),血液和造血器官药 [注射剂],中国,备注：限肾性贫血

